"author","authorIsChannelOwner","channelId","channelName","channelUrl","channelUsername","cid","comment","comments","commentsCount","commentsTurnedOff","date","descriptionLinks/0/text","descriptionLinks/0/url","descriptionLinks/1/text","descriptionLinks/1/url","descriptionLinks/2/text","descriptionLinks/2/url","descriptionLinks/3/text","descriptionLinks/3/url","descriptionLinks/4/text","descriptionLinks/4/url","descriptionLinks/5/text","descriptionLinks/5/url","descriptionLinks/6/text","descriptionLinks/6/url","descriptionLinks/7/text","descriptionLinks/7/url","descriptionLinks/8/text","descriptionLinks/8/url","descriptionLinks/9/text","descriptionLinks/9/url","descriptionLinks/10/text","descriptionLinks/10/url","duration","hasCreatorHeart","hashtags/0","id","input","isMonetized","likes","location","numberOfSubscribers","pageUrl","publishedTimeText","replyCount","replyToCid","subtitles","text","thumbnailUrl","title","type","url","videoId","viewCount","voteCount"
"@FreefireGarena-ou6ci","false",,,,,"UgzL1MjaQDibZD2oTAV4AaABAg","Just ordered mine a few days ago. Stoked to get it!",,"43",,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,"https://www.youtube.com/watch?v=_Gks93gudp0&t=14s","9 months ago","1",,,,,"Skip JBL, Get This! | Tribit Stormbox 2 Bluetooth Speaker Review","comment",,"_Gks93gudp0",,"2"
"@EnigmaElysium666","false",,,,,"UgxKrL_KtdVjqSZH9lR4AaABAg","Great review Eric!",,"43",,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,"https://www.youtube.com/watch?v=_Gks93gudp0&t=14s","9 months ago","1",,,,,"Skip JBL, Get This! | Tribit Stormbox 2 Bluetooth Speaker Review","comment",,"_Gks93gudp0",,"1"
"@marv2400","false",,,,,"UgylyrrkRbWllerzeGN4AaABAg","You really dont like JBL do you? Lol. 

I do agree though.. JBL is solid but companies like Tribit give way more value for your money. 

I really dont like smaller speakers but thanks for the review!",,"43",,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,"https://www.youtube.com/watch?v=_Gks93gudp0&t=14s","9 months ago","4",,,,,"Skip JBL, Get This! | Tribit Stormbox 2 Bluetooth Speaker Review","comment",,"_Gks93gudp0",,"3"
"@GamersGuard","false",,,,,"UgxtY9XOXN_PvlNs74d4AaABAg","Between xsound plus 2 and stormbox 2? Which one sounds better and louder? Thanks !",,"43",,,,,,,,,,,,,,,,,,,,,,,,,,"false",,,,,,,,"https://www.youtube.com/watch?v=_Gks93gudp0&t=14s","7 months ago","0",,,,,"Skip JBL, Get This! | Tribit Stormbox 2 Bluetooth Speaker Review","comment",,"_Gks93gudp0",,"0"
"@tobiyow9423","false",,,,,"UgzqioKtLD44gaRvcjZ4AaABAg","I have tribit maxsoundplus my honest opinion is tribit maxsoundplus better than JBL charge 😁",,"43",,,,,,,,,,,,,,,,,,,,,,,,,,"false",,,,,,,,"https://www.youtube.com/watch?v=_Gks93gudp0&t=14s","7 months ago","0",,,,,"Skip JBL, Get This! | Tribit Stormbox 2 Bluetooth Speaker Review","comment",,"_Gks93gudp0",,"0"
"@nguyenvietthanh7158","false",,,,,"Ugx1x9AK2Q__orSbuMV4AaABAg","How many speakers do you own by now? You could throw a block party with all these..lol",,"43",,,,,,,,,,,,,,,,,,,,,,,,,,"false",,,,,,,,"https://www.youtube.com/watch?v=_Gks93gudp0&t=14s","9 months ago","0",,,,,"Skip JBL, Get This! | Tribit Stormbox 2 Bluetooth Speaker Review","comment",,"_Gks93gudp0",,"0"
"@tachamla","false",,,,,"UgxGAmC-nDFNKbTQLqN4AaABAg","Listening in jbl charge 5😂😂😂",,"43",,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,"https://www.youtube.com/watch?v=_Gks93gudp0&t=14s","8 months ago","1",,,,,"Skip JBL, Get This! | Tribit Stormbox 2 Bluetooth Speaker Review","comment",,"_Gks93gudp0",,"2"
"@pranavgautam96","false",,,,,"UgyNs9xWwYuhIAIUSlh4AaABAg","Does Stormbox have more bass than X Sound Plus 2?",,"43",,,,,,,,,,,,,,,,,,,,,,,,,,"false",,,,,,,,"https://www.youtube.com/watch?v=_Gks93gudp0&t=14s","8 months ago","0",,,,,"Skip JBL, Get This! | Tribit Stormbox 2 Bluetooth Speaker Review","comment",,"_Gks93gudp0",,"0"
"@mohammadaditya8015","false",,,,,"UgzOF131FOROKhQKmQh4AaABAg","How do you think this compares to the Soundcore Motion Plus?",,"43",,,,,,,,,,,,,,,,,,,,,,,,,,"false",,,,,,,,"https://www.youtube.com/watch?v=_Gks93gudp0&t=14s","9 months ago","1",,,,,"Skip JBL, Get This! | Tribit Stormbox 2 Bluetooth Speaker Review","comment",,"_Gks93gudp0",,"0"
"@stillreddd","false",,,,,"Ugx5d097ZFhyAKhbKQR4AaABAg","which would you recommend this or the xsound plus 2?",,"43",,,,,,,,,,,,,,,,,,,,,,,,,,"false",,,,,,,,"https://www.youtube.com/watch?v=_Gks93gudp0&t=14s","8 months ago (edited)","2",,,,,"Skip JBL, Get This! | Tribit Stormbox 2 Bluetooth Speaker Review","comment",,"_Gks93gudp0",,"0"
"@Makerma","false",,,,,"UgxTW0Ei_6PTYFBaKSh4AaABAg","You have any promo codes for this one?",,"43",,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,"https://www.youtube.com/watch?v=_Gks93gudp0&t=14s","9 months ago","1",,,,,"Skip JBL, Get This! | Tribit Stormbox 2 Bluetooth Speaker Review","comment",,"_Gks93gudp0",,"1"
"@Muzammilsaudi","false",,,,,"UgzXoLJOuMVJEj-lb9d4AaABAg","Eh.. I prefer JBL still. I know itll last and not break on me in 2 months",,"43",,,,,,,,,,,,,,,,,,,,,,,,,,"false",,,,,,,,"https://www.youtube.com/watch?v=_Gks93gudp0&t=14s","9 months ago","8",,,,,"Skip JBL, Get This! | Tribit Stormbox 2 Bluetooth Speaker Review","comment",,"_Gks93gudp0",,"3"
"@rommelbonaobra5162","false",,,,,"UgxQT2HEDpw7_bkTrPd4AaABAg","Ilan Mah ng battery nito?",,"43",,,,,,,,,,,,,,,,,,,,,,,,,,"false",,,,,,,,"https://www.youtube.com/watch?v=_Gks93gudp0&t=14s","8 months ago","1",,,,,"Skip JBL, Get This! | Tribit Stormbox 2 Bluetooth Speaker Review","comment",,"_Gks93gudp0",,"0"
"@mazb9923","false",,,,,"UgyxGL2PSHk-NbzVoyB4AaABAg","I love these. Definitely, together, they sound best. Thanks for the great review.",,"5",,,,,,,,,,,,,,,,,,,,,,,,,,"false",,,,,,,,"https://www.youtube.com/watch?v=vj5h-Smhsbc","8 months ago","0",,,,,"Get Ready to Upgrade Your Music Game with Tribit StormBox 2","comment",,"vj5h-Smhsbc",,"2"
"@Chemy.","false",,,,,"UgzfjlNMbxf5aMTRGtp4AaABAg","Nice ones, I love the fact more and more are adding the option to pair a second speaker. Hey what happened with the most loved doing of the channel?",,"5",,,,,,,,,,,,,,,,,,,,,,,,,,"false",,,,,,,,"https://www.youtube.com/watch?v=vj5h-Smhsbc","8 months ago","0",,,,,"Get Ready to Upgrade Your Music Game with Tribit StormBox 2","comment",,"vj5h-Smhsbc",,"0"
"@pebblesredjackson","false",,,,,"UgxrnTtXSoI9BExwlGR4AaABAg","Peace and blessings. Thank you TK.",,"5",,,,,,,,,,,,,,,,,,,,,,,,,,"false",,,,,,,,"https://www.youtube.com/watch?v=vj5h-Smhsbc","8 months ago","0",,,,,"Get Ready to Upgrade Your Music Game with Tribit StormBox 2","comment",,"vj5h-Smhsbc",,"0"
"@gregoryaul2005","false",,,,,"Ugz5vkO2fdG_H7awEGx4AaABAg","Those speakers r awesome tk love my 1st gen👍👊, oh tk dose that app work with the 1st gen ?",,"5",,,,,,,,,,,,,,,,,,,,,,,,,,"false",,,,,,,,"https://www.youtube.com/watch?v=vj5h-Smhsbc","8 months ago (edited)","0",,,,,"Get Ready to Upgrade Your Music Game with Tribit StormBox 2","comment",,"vj5h-Smhsbc",,"0"
"@Hisenormity","false",,,,,"Ugybfea7ljXaUsO1u354AaABAg","Does the app insist on location tracking on to work? Noticed a lot of them do these days.",,"5",,,,,,,,,,,,,,,,,,,,,,,,,,"false",,,,,,,,"https://www.youtube.com/watch?v=vj5h-Smhsbc","8 months ago","0",,,,,"Get Ready to Upgrade Your Music Game with Tribit StormBox 2","comment",,"vj5h-Smhsbc",,"0"
"@saintking64","false",,,,,"Ugyagy2tiDQi97FUJwF4AaABAg","Bose Flex and the Beats Pill sound the most 'complete' of all the speakers listed. The JBL Charge is just a larger speaker all together and in my opinion should compete against the larger BT Speakers",,"204",,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,"https://www.youtube.com/watch?v=mDHNMQBj0nE&t=18s","4 months ago","5",,,,,"Smaller brands catching up?? I try 9 of the BEST SMALL bluetooth speakers","comment",,"mDHNMQBj0nE",,"77"
"@mikeevans7381","false",,,,,"UgwD1tCF2v1VGw2Qi2l4AaABAg","The Beats Pill 💊 sounds great the mids are really solid. The looks are okay ish i guess. Just discovered your channel and I'm totally enjoying it. Thank you. 💯👍🇺🇸",,"204",,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,"https://www.youtube.com/watch?v=mDHNMQBj0nE&t=18s","3 months ago","0",,,,,"Smaller brands catching up?? I try 9 of the BEST SMALL bluetooth speakers","comment",,"mDHNMQBj0nE",,"4"
"@dancorvalan3205","false",,,,,"Ugz3MXc421WUD3YE_PJ4AaABAg","Dude, u do the best reviews. Real life high quality reviews.",,"204",,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,"https://www.youtube.com/watch?v=mDHNMQBj0nE&t=18s","4 months ago","2",,,,,"Smaller brands catching up?? I try 9 of the BEST SMALL bluetooth speakers","comment",,"mDHNMQBj0nE",,"35"
"@bachoXm","false",,,,,"UgzcmEtHzkuzIKumeFJ4AaABAg","i have flip 6 and bose soundflex but flip 6 is better anyway, only advantage bose have speaker for call",,"204",,,,,,,,,,,,,,,,,,,,,,,,,,"false",,,,,,,,"https://www.youtube.com/watch?v=mDHNMQBj0nE&t=18s","4 months ago","1",,,,,"Smaller brands catching up?? I try 9 of the BEST SMALL bluetooth speakers","comment",,"mDHNMQBj0nE",,"8"
"@drrev40","false",,,,,"UgwSDBJaOKFX0Wk9CWl4AaABAg","I bought the Pill being aware that it is very V shaped in its sound but it goes deep in the bass. I have to say, I use it more and more, there is just something about it. Especially for it's size, even though I have much better bigger speakers! Based on YouTube sound I agree with your picks.👍 Solid Review",,"204",,,,,,,,,,,,,,,,,,,,,,,,,,"false",,,,,,,,"https://www.youtube.com/watch?v=mDHNMQBj0nE&t=18s","4 months ago (edited)","0",,,,,"Smaller brands catching up?? I try 9 of the BEST SMALL bluetooth speakers","comment",,"mDHNMQBj0nE",,"8"
"@rjq3987","false",,,,,"UgwAaqKqDtx2sj14aQ94AaABAg","I have the Tribit Stormbox 2 and as a former EDM DJ it completely blows me away with the sound that comes out of such a small speaker.  It crisp, with decent base, great treble, and the 360° sound fills the room.  And for $70!  Placing it on its side where the buttons on laying it flat also may make it sound better on the mic recording.  The Beats pill sounded incredible on the mic in the vid.  All I would need is a 2nd Stormbox 2 paired together and I can DJ pretty much anywhere with them!",,"204",,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,"https://www.youtube.com/watch?v=mDHNMQBj0nE&t=18s","4 months ago","6",,,,,"Smaller brands catching up?? I try 9 of the BEST SMALL bluetooth speakers","comment",,"mDHNMQBj0nE",,"16"
"@scottmcguire7956","false",,,,,"UgwfvtFOPApjISRRfxh4AaABAg","Just a note, the Tribit Stormbox's ""tweeters"" are side-firing and may explain why the recording didn't quite portray the actual sound. I have the older version and it sounds pretty good for its size, especially at its price. Definitely a good value pick. It sounds better when turned sideways or laying flat on  its back near a wall or in a corner.",,"204",,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,"https://www.youtube.com/watch?v=mDHNMQBj0nE&t=18s","4 months ago","0",,,,,"Smaller brands catching up?? I try 9 of the BEST SMALL bluetooth speakers","comment",,"mDHNMQBj0nE",,"21"
"@cyberlexl3136","false",,,,,"Ugw0xPzKoJMHo4dlBDV4AaABAg","The charge 5 is just the best bang for the buck of all the JBL bluetooth portable speakers.",,"204",,,,,,,,,,,,,,,,,,,,,,,,,,"false",,,,,,,,"https://www.youtube.com/watch?v=mDHNMQBj0nE&t=18s","4 months ago (edited)","1",,,,,"Smaller brands catching up?? I try 9 of the BEST SMALL bluetooth speakers","comment",,"mDHNMQBj0nE",,"16"
"@mnrd888","false",,,,,"UgzcWAXfEnXiVJCMaWt4AaABAg","The Beats Pill is pumping solid mids and lows. Damn!!!",,"204",,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,"https://www.youtube.com/watch?v=mDHNMQBj0nE&t=18s","4 months ago (edited)","2",,,,,"Smaller brands catching up?? I try 9 of the BEST SMALL bluetooth speakers","comment",,"mDHNMQBj0nE",,"86"
"@capitanlevi203","false",,,,,"UgxCjdjvqYJEGpHVKht4AaABAg","Motion 300 sounds clearer and more detailed than several. Correctly equalized it shows its full potential. The charge 5 straight out of the box is great.",,"204",,,,,,,,,,,,,,,,,,,,,,,,,,"false",,,,,,,,"https://www.youtube.com/watch?v=mDHNMQBj0nE&t=18s","4 months ago","0",,,,,"Smaller brands catching up?? I try 9 of the BEST SMALL bluetooth speakers","comment",,"mDHNMQBj0nE",,"31"
"@tsankotsankov760","false",,,,,"UgxFovJmmnBHIhuit4h4AaABAg","I see Danny video - I click like and start watching. He persuaded me to buy the Bose flex, and 1 year with it I am still in love with how amazing it sounds.",,"204",,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,"https://www.youtube.com/watch?v=mDHNMQBj0nE&t=18s","4 months ago","5",,,,,"Smaller brands catching up?? I try 9 of the BEST SMALL bluetooth speakers","comment",,"mDHNMQBj0nE",,"8"
"@Heff3rd","false",,,,,"Ugyj800Y7gf7fZsqYNZ4AaABAg","As I have the two Tribit models, I advocate to utilize their app for EQ adjustments. I kept the Flow and returned the Bose Flex after a side by side comparison at home. That’s how well the Flow can get with EQ adjustment to perform equally as Bose for half the price. Just my $0.02",,"204",,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,"https://www.youtube.com/watch?v=mDHNMQBj0nE&t=18s","4 months ago","9",,,,,"Smaller brands catching up?? I try 9 of the BEST SMALL bluetooth speakers","comment",,"mDHNMQBj0nE",,"12"
"@videofrat3115","false",,,,,"UgwGmyfoEiptdt893ol4AaABAg","Great channel. Super detailed review. I currently have the flip 6 but the pill in your comparison really impressed me.",,"204",,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,"https://www.youtube.com/watch?v=mDHNMQBj0nE&t=18s","3 months ago","0",,,,,"Smaller brands catching up?? I try 9 of the BEST SMALL bluetooth speakers","comment",,"mDHNMQBj0nE",,"1"
"@Marcus-ht1kv","false",,,,,"Ugz5pYP6-2Yba2gagCl4AaABAg","great review mate👍",,"204",,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,"https://www.youtube.com/watch?v=mDHNMQBj0nE&t=18s","7 days ago","0",,,,,"Smaller brands catching up?? I try 9 of the BEST SMALL bluetooth speakers","comment",,"mDHNMQBj0nE",,"1"
"@TheRicardo28","false",,,,,"UgxT1_xL7ivr5LBFJJJ4AaABAg","The consistency of the sound of Bose Flex is impressive I have 2 the first generation color Black and then later I just bought another the green colour. If you don't bother to much about price get the Bose no regrets for nothing they're built to last that's another point if you have android phone you can change the EQ for all the music genres when you wanted.",,"204",,,,,,,,,,,,,,,,,,,,,,,,,,"false",,,,,,,,"https://www.youtube.com/watch?v=mDHNMQBj0nE&t=18s","4 months ago (edited)","1",,,,,"Smaller brands catching up?? I try 9 of the BEST SMALL bluetooth speakers","comment",,"mDHNMQBj0nE",,"5"
"@DienPhillips","false",,,,,"Ugyg6JbtDgVW_M7m0bV4AaABAg","I can tell you care about what you are doing with this channel. Subscribed.",,"204",,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,"https://www.youtube.com/watch?v=mDHNMQBj0nE&t=18s","3 months ago","1",,,,,"Smaller brands catching up?? I try 9 of the BEST SMALL bluetooth speakers","comment",,"mDHNMQBj0nE",,"6"
"@lauriLokkeni9002","false",,,,,"UgzSRnY7jezbWSKk1RJ4AaABAg","I've just bought the jbl flip 6, 2, in fact, and I think they are pretty darn good for their size. Nice review ❤",,"204",,,,,,,,,,,,,,,,,,,,,,,,,,"false",,,,,,,,"https://www.youtube.com/watch?v=mDHNMQBj0nE&t=18s","4 months ago","0",,,,,"Smaller brands catching up?? I try 9 of the BEST SMALL bluetooth speakers","comment",,"mDHNMQBj0nE",,"1"
"@SigmaMastersOfMind","false",,,,,"Ugwq1w3KpkBH71ppSdR4AaABAg","Got 2 motion 300 for 60$ each. Compared to Bose Flex, they are really close, I also have the oluv's eq for them and used the flex preset. For the same money 120$ for 2x motion and 120$ for 1 flex,I would 110% go for the 2 motion 300.

2 speakers is always better than 1. Sometimes more than 2 times better.

I also have a Vifa Helsinki preset for the motion 300,but when put side by side, even with 2x motion 300 I still prefer my Vifa Helsinki,the retail price is also almost 10 times higher so not a fair comparison but threw this info in just for the sake of it.

The motion 300 is a highly customisable speaker, so you can make it sound just how you want it to.

Forgot to mention,I also compared 2x motion 300 with 1 JBL Xtreme 4, I got right when it launched,the JBL has more bass,and a fuller sound, but in term of loudness they are literally the same. I returned it since 400$ was definitely too much for it.",,"204",,,,,,,,,,,,,,,,,,,,,,,,,,"false",,,,,,,,"https://www.youtube.com/watch?v=mDHNMQBj0nE&t=18s","4 months ago (edited)","3",,,,,"Smaller brands catching up?? I try 9 of the BEST SMALL bluetooth speakers","comment",,"mDHNMQBj0nE",,"8"
"@juiceboysolorio1112","false",,,,,"UgzwC70Zx4E7Q8CtXGd4AaABAg","Love your reviews and love your love for music ❤️, keep up the good work my man!",,"204",,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,"https://www.youtube.com/watch?v=mDHNMQBj0nE&t=18s","4 months ago","0",,,,,"Smaller brands catching up?? I try 9 of the BEST SMALL bluetooth speakers","comment",,"mDHNMQBj0nE",,"0"
"@jaypeepshow","false",,,,,"UgyxDtin2Nyuub4p8Et4AaABAg","Thank you for doing this, Danny!",,"204",,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,"https://www.youtube.com/watch?v=mDHNMQBj0nE&t=18s","4 months ago","0",,,,,"Smaller brands catching up?? I try 9 of the BEST SMALL bluetooth speakers","comment",,"mDHNMQBj0nE",,"2"
"@EricReviews","true",,,,,"Ugzp9RQwHJbFO7fqjV54AaABAg.A58FWaEf4-eA59vZjJzKzp","Sounds like a good plan! Thanks for watching!",,"43",,,,,,,,,,,,,,,,,,,,,,,,,,"false",,,,,,,,"https://www.youtube.com/watch?v=_Gks93gudp0&t=14s","9 months ago","0","Ugzp9RQwHJbFO7fqjV54AaABAg",,,,"Skip JBL, Get This! | Tribit Stormbox 2 Bluetooth Speaker Review","reply",,"_Gks93gudp0",,"0"
"@DigitalSlang","true",,,,,"UgyM99ZwJugFf1d26At4AaABAg.AABJZoxcS7tAABQxDGgrIn","Got you bro..I'm chilling. Sup with you",,"6",,,,,,,,,,,,,,,,,,,,,,,,,,"false",,,,,,,,"https://www.youtube.com/watch?v=TY7dGyZ6VhA","5 months ago","0","UgyM99ZwJugFf1d26At4AaABAg",,,,"Tribit StormBox 2 BT Speaker - A Little MONSTER!","reply",,"TY7dGyZ6VhA",,"0"
"@BJPerryJr","false",,,,,"UgyM99ZwJugFf1d26At4AaABAg.AABJZoxcS7tAABVSt5O6SO"," @DigitalSlang  Life lately bro…. Been going thru some things but I’m alive still at least 😂🤷‍♂️",,"6",,,,,,,,,,,,,,,,,,,,,,,,,,"false",,,,,,,,"https://www.youtube.com/watch?v=TY7dGyZ6VhA","5 months ago","0","UgyM99ZwJugFf1d26At4AaABAg",,,,"Tribit StormBox 2 BT Speaker - A Little MONSTER!","reply",,"TY7dGyZ6VhA",,"0"
"@alexielsama5821","false",,,,,"UgxTx5xwuyCQau9h31h4AaABAg","Anything above 30 $ isn't budget anymore.",,"40",,,,,,,,,,,,,,,,,,,,,,,,,,"false",,,,,,,,"https://www.youtube.com/watch?v=AAx-0uy2FYQ","2 months ago","1",,,,,"Top 5 Budget Bluetooth Speakers!","comment",,"AAx-0uy2FYQ",,"13"
"@thesphyrth","false",,,,,"UgwqNv520qRO0kgKWDx4AaABAg","How do I feel that this is a missed opportunity to say ""And that is how it sounds!""?",,"40",,,,,,,,,,,,,,,,,,,,,,,,,,"false",,,,,,,,"https://www.youtube.com/watch?v=AAx-0uy2FYQ","7 months ago","0",,,,,"Top 5 Budget Bluetooth Speakers!","comment",,"AAx-0uy2FYQ",,"7"
"@vayyyylmao","false",,,,,"UgzhfYshZpibV6uYBod4AaABAg","I was so down bad for a speaker that I bought the stormbox 2 after only a few words. Now I'm continuing the video and smiling. 😂",,"40",,,,,,,,,,,,,,,,,,,,,,,,,,"false",,,,,,,,"https://www.youtube.com/watch?v=AAx-0uy2FYQ","4 months ago","4",,,,,"Top 5 Budget Bluetooth Speakers!","comment",,"AAx-0uy2FYQ",,"2"
"@YordanisAdames","false",,,,,"Ugxxiut54bYYvER8Of14AaABAg","Dude your so unreal you legit have 10/10 review videos for everything. The no intro videos is so amazing aswell love your channel.",,"40",,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,"https://www.youtube.com/watch?v=AAx-0uy2FYQ","6 months ago","0",,,,,"Top 5 Budget Bluetooth Speakers!","comment",,"AAx-0uy2FYQ",,"16"
"@eduardoramos6901","false",,,,,"UgyldS5hDxIyTQ9PASR4AaABAg","Like the review, but no sample of speaker sound :-(",,"40",,,,,,,,,,,,,,,,,,,,,,,,,,"false",,,,,,,,"https://www.youtube.com/watch?v=AAx-0uy2FYQ","4 months ago","0",,,,,"Top 5 Budget Bluetooth Speakers!","comment",,"AAx-0uy2FYQ",,"3"
"@ultrasomraj1463","false",,,,,"UgwtT4bJ8LqUUR2nwWx4AaABAg","Bro makes one of the best customer tech reviews Channel. You really need more reach and recognition",,"40",,,,,,,,,,,,,,,,,,,,,,,,,,"false",,,,,,,,"https://www.youtube.com/watch?v=AAx-0uy2FYQ","7 months ago","0",,,,,"Top 5 Budget Bluetooth Speakers!","comment",,"AAx-0uy2FYQ",,"3"
